iso3,total_attacks,ISO2
MAR,7,MA
AFG,22,AF
ALB,1,AL
ARE,18,AE
ARG,3,AR
ARM,2,AM
AUS,44,AU
AUT,3,AT
AZE,5,AZ
BEL,12,BE
BGD,14,BD
BGR,2,BG
BHR,6,BH
BIH,1,BA
BLR,10,BY
BRA,10,BR
BRB,2,BB
CAN,42,CA
CHE,22,CH
CHL,5,CL
CHN,127,CN
CRI,1,CR
CZE,8,CZ
DEU,72,DE
DJI,2,DJ
DNK,11,DK
DZA,2,DZ
ECU,2,EC
EGY,7,EG
ESP,17,ES
EST,2,EE
ETH,1,ET
FIN,5,FI
FJI,2,FJ
FRA,40,FR
GBR,75,GB
GEO,9,GE
GHA,2,GH
GRC,3,GR
GTM,1,GT
HKG,21,HK
HUN,4,HU
IDN,16,ID
IND,78,IN
IRL,5,IE
IRN,72,IR
IRQ,15,IQ
ISR,56,IL
ITA,14,IT
JOR,9,JO
JPN,55,JP
KAZ,18,KZ
KEN,1,KE
KGZ,14,KG
KHM,9,KH
KIR,2,KI
KOR,83,KR
KWT,7,KW
LAO,3,LA
LBN,6,LB
LBY,2,LY
LKA,4,LK
LTU,9,LT
LUX,2,LU
LVA,8,LV
MEX,7,MX
MLT,1,MT
MMR,17,MM
MNE,3,ME
MNG,7,MN
MOZ,1,MZ
MYS,11,MY
NGA,1,NG
NIC,1,NI
NLD,23,NL
NOR,14,NO
NPL,5,NP
NZL,5,NZ
OMN,2,OM
PAK,35,PK
PAN,3,PA
PER,1,PE
PHL,19,PH
POL,27,PL
PRK,26,KP
PRT,2,PT
PSE,1,PS
QAT,7,QA
ROU,2,RO
RUS,84,RU
RWA,2,RW
SAU,34,SA
SDN,1,SD
SGP,14,SG
SLV,1,SV
SOM,2,SO
SRB,2,RS
SVK,2,SK
SWE,10,SE
SYR,9,SY
TGO,2,TG
THA,10,TH
TJK,10,TJ
TUN,2,TN
TUR,26,TR
TWN,33,TW
TZA,1,TZ
UAE,1,
UGA,2,UG
UKR,92,UA
URY,1,UY
USA,321,US
UZB,14,UZ
VAT,2,VA
VEN,2,VE
VNM,28,VN
YEM,1,YE
ZAF,10,ZA
ZMB,1,ZM
(blank),24,
Grand Total,2098,
